epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2030.67,0.38396,0.37251,0.88093,0.99002,1,0.9949,0.96798,0.27207,0.31018,0.8086,0.0011684,0.0011684,0.0011684
44,2074.42,0.36605,0.3576,0.87629,0.99935,1,0.995,0.95718,0.29907,0.3114,0.80926,0.0011486,0.0011486,0.0011486
45,2117.97,0.36091,0.34242,0.88272,0.97978,1,0.9938,0.97445,0.24795,0.29175,0.80096,0.0011288,0.0011288,0.0011288
46,2162.36,0.35869,0.34384,0.86666,0.97846,1,0.9944,0.96689,0.27019,0.32492,0.80481,0.001109,0.001109,0.001109
47,2206.71,0.34848,0.33206,0.86355,0.98691,1,0.995,0.98095,0.22973,0.31463,0.79419,0.0010892,0.0010892,0.0010892
48,2250.26,0.36246,0.34018,0.87205,0.9888,1,0.9945,0.96764,0.25623,0.30544,0.80067,0.0010694,0.0010694,0.0010694
49,2293.17,0.3582,0.35019,0.87104,0.98889,1,0.99411,0.97303,0.26315,0.30366,0.8007,0.0010496,0.0010496,0.0010496
50,2336.3,0.36498,0.33053,0.86835,0.9901,0.99975,0.9946,0.97804,0.26067,0.29146,0.79713,0.0010298,0.0010298,0.0010298
51,2379.7,0.34635,0.32563,0.86639,0.98802,0.99,0.99452,0.98135,0.24746,0.28642,0.7924,0.00101,0.00101,0.00101
52,2423.25,0.33141,0.32008,0.85648,0.98564,1,0.99421,0.96303,0.26236,0.28691,0.80066,0.0009902,0.0009902,0.0009902
53,2466.56,0.35525,0.33577,0.86607,0.98295,1,0.99361,0.97458,0.24147,0.27339,0.79403,0.0009704,0.0009704,0.0009704
54,2509.66,0.34974,0.31874,0.86057,0.99378,1,0.995,0.96987,0.24774,0.26819,0.79762,0.0009506,0.0009506,0.0009506
55,2552.89,0.32553,0.31001,0.85807,0.99444,0.99,0.99471,0.97712,0.23304,0.27166,0.79643,0.0009308,0.0009308,0.0009308
56,2595.67,0.33331,0.31483,0.8468,0.99562,0.98,0.993,0.97316,0.2527,0.28789,0.80006,0.000911,0.000911,0.000911
57,2639.14,0.32865,0.30496,0.85723,0.9968,0.99,0.99443,0.9767,0.23982,0.26393,0.79272,0.0008912,0.0008912,0.0008912
58,2683.06,0.34765,0.30138,0.85982,0.99176,1,0.995,0.97493,0.24867,0.25587,0.79295,0.0008714,0.0008714,0.0008714
59,2725.53,0.33791,0.30252,0.86144,0.98161,1,0.9948,0.98537,0.23352,0.26353,0.79053,0.0008516,0.0008516,0.0008516
60,2767.8,0.30833,0.28711,0.84318,0.97918,1,0.99461,0.97422,0.25265,0.27705,0.79736,0.0008318,0.0008318,0.0008318
61,2810.54,0.3351,0.2963,0.87273,0.97944,1,0.9946,0.96545,0.26103,0.28876,0.8017,0.000812,0.000812,0.000812
62,2860.27,0.33252,0.29292,0.85682,0.98865,1,0.995,0.98205,0.22906,0.26471,0.78886,0.0007922,0.0007922,0.0007922
63,2958.64,0.31743,0.29427,0.85338,0.99816,1,0.995,0.98043,0.22421,0.2482,0.78656,0.0007724,0.0007724,0.0007724
64,3051.65,0.31379,0.27673,0.85517,0.99776,1,0.995,0.98397,0.21693,0.24114,0.78604,0.0007526,0.0007526,0.0007526
65,3130.57,0.31434,0.29037,0.85556,0.99831,1,0.995,0.98421,0.2157,0.22556,0.78751,0.0007328,0.0007328,0.0007328
66,3170.84,0.31608,0.28684,0.85268,0.99783,1,0.995,0.98531,0.21152,0.23683,0.78575,0.000713,0.000713,0.000713
67,3214.72,0.31421,0.28974,0.85779,0.99731,1,0.995,0.98887,0.21064,0.23678,0.78342,0.0006932,0.0006932,0.0006932
68,3258.26,0.33241,0.29033,0.85968,0.99752,1,0.995,0.9848,0.21457,0.22721,0.78389,0.0006734,0.0006734,0.0006734
69,3304.46,0.31068,0.28478,0.85228,0.99669,1,0.995,0.99255,0.20461,0.21839,0.78545,0.0006536,0.0006536,0.0006536
70,3350.49,0.30262,0.27547,0.85943,0.9951,1,0.995,0.98555,0.20609,0.22129,0.78774,0.0006338,0.0006338,0.0006338
71,3398.58,0.30713,0.27738,0.85377,0.99162,1,0.995,0.98185,0.21381,0.22098,0.79107,0.000614,0.000614,0.000614
72,3445.77,0.28651,0.26374,0.85299,0.97988,1,0.9948,0.98066,0.21766,0.23007,0.79356,0.0005942,0.0005942,0.0005942
73,3493.18,0.29457,0.26847,0.85554,0.97993,1,0.9946,0.98308,0.22329,0.24054,0.79651,0.0005744,0.0005744,0.0005744
74,3540.14,0.29259,0.26607,0.85688,0.98509,1,0.995,0.98278,0.21362,0.23906,0.79023,0.0005546,0.0005546,0.0005546
